_id,key,exch1Name,exch2Name,timeStamp,ccyPair,exch1BuyAt,exch1SellAt,exch2BuyAt,exch2SellAt,gainLoss,urgentTrade,arbPercent,exch1BuyOrSell,tradeInstructions,time
15d501d27f8f85b8393443627,BuyBittrexSellPoloniexBTC_VTC1565531431528,Poloniex,Bittrex,Sun Aug 11 2019 09:50:31 ,BTC_VTC,0.00002703,0.00002696,0.00002662,0.00002657,GAIN,true,1.2691302724897355,Sell,BTC_VTC BUY at Bittrex for 0.000026620. SELL at Poloniex for 0.000026960 Gain 1.269130%,1565531431,
25d501d14f8f85b8393443626,BuyBittrexSellPoloniexBTC_VTC1565531412409,Poloniex,Bittrex,Sun Aug 11 2019 09:50:12 ,BTC_VTC,0.00002703,0.00002696,0.00002662,0.00002657,GAIN,true,1.2691302724897355,Sell,BTC_VTC BUY at Bittrex for 0.000026620. SELL at Poloniex for 0.000026960 Gain 1.269130%,1565531412,
35d500892f8f85b8393443625,BuyBittrexSellPoloniexBTC_VTC1565526162647,Poloniex,Bittrex,Sun Aug 11 2019 08:22:42 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002639,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526162,
45d50087ff8f85b8393443624,BuyBittrexSellPoloniexBTC_VTC1565526143557,Poloniex,Bittrex,Sun Aug 11 2019 08:22:23 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002639,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526143,
55d50086cf8f85b8393443623,BuyBittrexSellPoloniexBTC_VTC1565526124516,Poloniex,Bittrex,Sun Aug 11 2019 08:22:04 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002639,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526124,
65d500859f8f85b8393443622,BuyBittrexSellPoloniexBTC_VTC1565526105324,Poloniex,Bittrex,Sun Aug 11 2019 08:21:45 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002639,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526105,
75d500846f8f85b8393443621,BuyBittrexSellPoloniexBTC_VTC1565526086328,Poloniex,Bittrex,Sun Aug 11 2019 08:21:26 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002639,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526086,
85d500833f8f85b8393443620,BuyBittrexSellPoloniexBTC_VTC1565526067175,Poloniex,Bittrex,Sun Aug 11 2019 08:21:07 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002639,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526067,
95d500820f8f85b839344361f,BuyBittrexSellPoloniexBTC_VTC1565526048102,Poloniex,Bittrex,Sun Aug 11 2019 08:20:47 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002639,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526048,
105d50080df8f85b839344361e,BuyBittrexSellPoloniexBTC_VTC1565526029033,Poloniex,Bittrex,Sun Aug 11 2019 08:20:28 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002638,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526029,
115d5007faf8f85b839344361d,BuyBittrexSellPoloniexBTC_VTC1565526009972,Poloniex,Bittrex,Sun Aug 11 2019 08:20:09 ,BTC_VTC,0.00002703,0.0000269,0.0000265,0.00002638,GAIN,true,1.4981273408239684,Sell,BTC_VTC BUY at Bittrex for 0.000026500. SELL at Poloniex for 0.000026900 Gain 1.498127%,1565526010,
